CODE,LABEL,YEAR,0-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total,Working Age Population (15-64 years),Males,Females,Persons,Births,Total Fertility Rate (per female),Deaths,"Standardised Death Rate (per 1,000 population)",Population density,Proportion of total population,"Born in Oceania, Antarctica (exc. Australia)",Born in North-West Europe,Born in Southern & Eastern Europe,"Born in North Africa, Middle East",Born in South-East Asia,Born in North-East Asia,"Born in Southern, Central Asia",Born in Americas,Born in Sub-Saharan Africa,Total Born Overseas,Buddhism ,Christianity ,Hinduism ,Islam,Judaism ,Other Religions ,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation",Inadequately described or not stated ,Australian citizen,Not an Australian citizen,Australian Citizenship - Not stated,Proportion of total population
10250,Ballina (A),2017,16.9,9.9,9.1,11,13.4,14.8,13.1,7.6,4.1,"43,457",58.3,45.8,48.5,47.2,-,-,433,5.4,89.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,1.3,1.2,2.5,0.5,0.6,0.5,0.3,0.2,0.4,7.4,-,-,-,-,-,-,-,-,87.6,3.8,8.6,7.7
10300,Balranald (A),2012,21.1,10.8,10.4,13.9,14.3,13.8,8.9,5.1,1.7,"2,363",63.2,40.7,40.7,40.7,44,2.7,22,7.3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2013,22,10.8,10.7,13.2,13.8,14.4,7.9,5.4,1.7,"2,381",62.9,41.1,39.4,40.4,39,3,28,9.5,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2014,22.6,11.1,11,12.4,13.1,14.6,8.4,5.3,1.5,"2,376",62.2,40.3,39.1,39.8,41,3.3,28,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2015,22.8,11.5,11.5,11.8,12.5,14.8,8.3,5,1.6,"2,364",62.2,39.2,38.5,38.7,44,3.2,22,9.6,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2016,21,12.1,10.7,12.1,12.3,15.7,9.1,5.5,1.5,"2,330",62.9,39.8,40.4,40.2,29,2.8,26,9.4,0.1,8.7,1.4,1.2,1,0.3,0.7,0.6,0.5,0.4,0.2,6.3,0.7,65,0.4,0.3,-,0.2,20.8,12.6,86.3,3.2,10.4,6.7
10300,Balranald (A),2017,20.7,12.8,10.2,11.6,12.1,15.8,9.4,5.3,2.1,"2,341",62.5,39.9,40.6,40.3,-,-,18,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2,1.5,3.6,0.6,0.4,0.6,0.5,0.4,0.4,0.3,8.3,-,-,-,-,-,-,-,-,89.9,2.8,7.2,3.3
10470,Bathurst Regional (A),2012,20.5,16.2,12.3,12.6,12.8,11.3,8,4.5,1.8,"40,301",65.2,34.5,37.4,35.9,522,2.1,305,7.1,10.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2013,20.5,15.8,12.5,12.4,12.7,11.4,8.3,4.5,1.9,"40,727",64.8,34.6,37.6,36.1,500,2,286,6.8,10.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2014,20.5,15.5,12.7,12.2,12.6,11.5,8.5,4.6,1.9,"41,157",64.5,34.7,37.8,36.2,462,1.9,295,6.4,10.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2015,20.4,15.3,12.9,11.9,12.6,11.5,8.8,4.6,2,"41,694",64.2,34.7,37.8,36.2,525,1.9,298,6.1,10.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2016,20.2,15.3,13,11.8,12.5,11.6,9,4.7,2,"42,244",64.1,34.8,38.1,36.4,474,1.9,325,6.1,11.1,5.4,1.3,3.3,0.5,0.3,0.9,0.5,0.9,0.5,0.4,8.6,0.7,63.8,0.5,0.4,-,0.4,22.7,11.3,87.3,3.4,9.3,4.1
10470,Bathurst Regional (A),2017,19.8,15.4,13,11.6,12.4,11.8,9.2,4.8,2.1,"42,779",64.2,35.1,38.1,36.5,-,-,309,6,11.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,3.1,3.2,10.3,5.2,5.5,7.2,5.5,2.4,0.7,43.1,-,-,-,-,-,-,-,-,79.4,13.7,6.9,51.4
10500,Bayside (A),2012,17.2,12.7,17.9,15,12.3,10.2,7.5,5,2.2,"148,028",68.2,35.5,37.3,36.4,"2,282",-,746,4.1,2967.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2013,17.1,12.9,18.3,14.8,12.2,10.1,7.5,4.9,2.2,"151,309",68.3,35.3,37,36.1,"2,282",-,793,4.1,3032.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2014,16.8,13,18.9,14.7,12.2,9.9,7.5,4.9,2.2,"154,980",68.7,35,36.7,35.8,"2,171",-,762,4,3106.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2015,16.6,13.1,19.5,14.6,12,9.9,7.4,4.8,2.2,"159,222",69,34.7,36.3,35.5,"2,176",-,758,4,3191.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2016,16.3,13.1,20.1,14.5,12,9.8,7.4,4.7,2.2,"164,534",69.5,34.6,36,35.3,"2,302",-,756,3.8,3297.9,1,2.6,3.2,9,4.5,6.7,9.5,6.8,3,0.7,46,4,51.8,4.2,8.7,0.6,0.4,20.8,9.4,73.7,19.4,6.9,52.8
10500,Bayside (A),2017,16.1,13,20.8,14.5,11.8,9.7,7.3,4.6,2.2,"170,089",69.8,34.4,35.8,35.1,-,-,"1,005",4.1,3409.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8,1.4,7.5,0.8,0.1,0.6,0.2,0.1,0.7,0.4,11.7,-,-,-,-,-,-,-,-,91.9,3.2,4.9,2.9
10550,Bega Valley (A),2012,17.2,10,7.7,10.5,15.3,17.2,12.8,6.7,2.6,"33,288",60.8,48.3,48.8,48.5,289,2.3,295,6.1,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2013,16.9,9.9,7.7,10.3,15,17.3,13.3,6.9,2.7,"33,430",60.2,48.8,49.3,49,294,2.2,318,5.9,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2014,16.5,9.8,7.9,9.9,14.6,17.6,13.7,7.1,2.8,"33,562",59.8,49.2,49.8,49.5,267,2,308,5.5,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2015,16.4,9.6,8,9.7,14.2,17.8,14.3,7.2,2.8,"33,713",59.3,49.7,50.2,50,291,2,345,5.7,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2016,16.3,9.3,8.1,9.5,13.9,17.9,14.7,7.4,2.9,"33,941",58.7,50,50.5,50.3,267,1.9,351,5.8,5.4,3.1,1.3,7,0.8,0.1,0.8,0.3,0.2,0.7,0.4,11.6,1,52.1,0.2,0.1,0.1,0.4,35.7,10.4,89.5,3.1,7.4,3
10550,Bega Valley (A),2017,15.9,9.5,8.1,9.3,13.5,18,15.2,7.6,3,"34,102",58.3,50.4,51.1,50.8,-,-,380,6.1,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
