CODE,LABEL,YEAR,0-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total,Working Age Population (15-64 years),Males,Females,Persons,Births,Total Fertility Rate (per female),Deaths,"Standardised Death Rate (per 1,000 population)",Population density,Proportion of total population,"Born in Oceania, Antarctica (exc. Australia)",Born in North-West Europe,Born in Southern & Eastern Europe,"Born in North Africa, Middle East",Born in South-East Asia,Born in North-East Asia,"Born in Southern, Central Asia",Born in Americas,Born in Sub-Saharan Africa,Total Born Overseas,Buddhism ,Christianity ,Hinduism ,Islam,Judaism ,Other Religions ,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation",Inadequately described or not stated ,Australian citizen,Not an Australian citizen,Australian Citizenship - Not stated,Proportion of total population
23270,Hume (C),2012,22.1,15.7,15.3,14.5,13.5,9.6,5.9,2.8,0.7,"179,202",68.5,32.4,33.4,32.9,"3,054",2.1,730,6.1,355.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23270,Hume (C),2013,22,15.5,15.6,14.3,13.4,9.6,6,2.8,0.8,"184,873",68.4,32.4,33.5,32.9,"2,911",2.1,672,5.7,366.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23270,Hume (C),2014,22,15.3,15.8,14,13.3,9.7,6.1,2.9,0.8,"191,278",68.2,32.3,33.5,32.9,"3,070",2.1,750,5.5,379.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23270,Hume (C),2015,22.2,15.1,16,13.8,13.3,9.7,6.2,2.9,0.8,"198,176",67.9,32.3,33.5,32.9,"2,989",2,848,5.4,393.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23270,Hume (C),2016,22.4,14.8,16.3,13.7,13.1,9.8,6.3,2.9,0.9,"207,041",67.6,32.2,33.5,32.8,"3,448",2.1,849,5.6,410.9,0.7,2.8,2.6,4.6,12.6,3,0.6,7.7,0.7,1,35.7,2.5,49.8,2.8,16.5,-,2.7,17.2,8.6,80.8,13.2,6,44.9
23270,Hume (C),2017,22.4,14.5,16.5,13.7,12.8,9.9,6.3,2.9,0.9,"215,260",67.5,32.3,33.6,32.9,-,-,882,5.5,427.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23350,Indigo (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,0.8,5.4,0.8,0.1,0.4,0.1,0.2,0.4,0.2,8.4,-,-,-,-,-,-,-,-,92.3,2.3,5.4,2.1
23350,Indigo (S),2012,18.8,10.6,8,13.2,16.2,15.8,10.4,5,1.9,"15,454",63.8,44.3,44.9,44.6,160,2.3,127,6.3,7.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23350,Indigo (S),2013,18.7,10.6,7.9,12.9,15.8,15.9,11.1,5.2,2,"15,605",63.1,44.8,45.1,45,128,2.2,118,6.1,7.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23350,Indigo (S),2014,18.4,10.7,7.9,12.6,15.7,16.1,11.4,5.3,2,"15,732",62.9,45.1,45.4,45.3,127,2.1,142,6.3,7.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23350,Indigo (S),2015,18.4,10.3,8.1,12.5,15.4,16.2,11.8,5.4,2.1,"15,922",62.5,45.5,45.6,45.6,137,2,132,6.2,7.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23350,Indigo (S),2016,18.4,9.9,8.4,12.3,15.3,16.1,12.3,5.3,2,"16,165",62,45.6,45.7,45.7,131,1.9,131,6.4,7.9,1.3,1,5.3,0.7,-,0.5,0.2,0.2,0.5,0.2,8.5,0.7,55.6,0.1,0.1,-,0.3,33.6,9.6,90.5,2.4,7.1,2.3
23350,Indigo (S),2017,18.2,9.9,8.2,11.9,15.2,16.2,12.8,5.5,2,"16,335",61.5,45.9,46.2,46.1,-,-,117,5.9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,2.1,6.8,6.3,1.4,3.7,2.5,4.6,1.1,1.6,30.1,-,-,-,-,-,-,-,-,85.5,9.7,4.8,24.6
23430,Kingston (C) (Vic.),2012,17.5,12,13.8,15.5,13.8,11.2,8.3,5.5,2.4,"150,435",66.3,38.3,40.7,39.5,"1,903",1.8,"1,020",5.2,1646.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2013,17.6,11.8,13.8,15.3,13.8,11.3,8.5,5.4,2.5,"152,336",66,38.4,40.8,39.6,"1,935",1.8,"1,065",5.1,1667.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2014,17.7,11.7,13.8,15.1,13.8,11.3,8.6,5.4,2.5,"154,210",65.7,38.5,40.9,39.8,"1,789",1.7,"1,071",4.9,1687.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2015,17.8,11.6,13.8,14.9,13.9,11.4,8.6,5.4,2.6,"156,244",65.6,38.5,41,39.8,"1,829",1.7,"1,066",4.9,1710.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2016,17.9,11.5,13.7,14.7,14,11.4,8.7,5.3,2.6,"158,941",65.4,38.5,41,39.7,"2,048",1.7,"1,033",4.8,1739.6,0.4,2,6.6,5.9,1.6,3.8,3.5,4.9,1.1,1.6,31,2.9,51,2.2,1.5,1,1.1,31.9,8.5,83.4,11.1,5.5,26
23430,Kingston (C) (Vic.),2017,17.8,11.6,13.7,14.4,14.1,11.5,8.8,5.4,2.7,"161,056",65.4,38.4,41.1,39.8,-,-,"1,125",4.8,1762.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,1.6,7.6,3.2,1.1,5,2.9,4.2,0.8,1.3,27.8,-,-,-,-,-,-,-,-,88.6,8.1,3.3,21.1
23670,Knox (C),2012,18.1,14.2,13.2,14.2,14.7,12.5,7.5,3.9,1.7,"155,406",68.7,37.2,39.5,38.4,"1,911",1.8,908,5.6,1364.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2013,18,14,13.4,13.9,14.5,12.5,7.8,4.1,1.8,"156,347",68.3,37.3,39.7,38.6,"1,793",1.8,941,5.5,1372.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2014,17.9,13.8,13.5,13.7,14.3,12.6,8.2,4.2,1.8,"157,434",67.9,37.3,39.9,38.7,"1,755",1.7,985,5.4,1382.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2015,17.8,13.6,13.7,13.6,14.2,12.6,8.4,4.3,1.8,"158,700",67.6,37.4,40,38.7,"1,712",1.7,962,5.4,1393.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2016,17.9,13.4,13.7,13.4,14.1,12.6,8.6,4.4,1.9,"160,353",67.2,37.4,40,38.7,"1,980",1.7,"1,010",5.3,1407.7,0.5,1.5,6.4,2.8,1.3,5.6,5.5,5,0.8,1.2,30.1,3.8,49.8,2.6,1.1,0.1,1,34,7.5,85.3,10.3,4.4,25.2
23670,Knox (C),2017,17.8,13.4,13.7,13.4,13.9,12.5,8.8,4.6,1.9,"161,842",67,37.4,40.1,38.7,-,-,"1,011",5.2,1420.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.1,6.6,2.7,0.4,1,0.5,0.6,0.4,0.5,13.7,-,-,-,-,-,-,-,-,89.3,4.9,5.8,6.9
23810,Latrobe (C) (Vic.),2012,19,14.1,12.3,12.2,13.8,12.6,8.8,5.2,2,"74,004",65,38.3,39.8,39.1,"1,026",2.1,621,6.6,51.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2013,18.9,13.7,12.4,12.1,13.7,12.8,9.1,5.2,2.1,"74,124",64.7,38.6,40.2,39.4,946,2.1,600,6.5,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2014,18.8,13.4,12.6,11.8,13.5,13,9.3,5.3,2.2,"74,134",64.4,38.8,40.5,39.7,945,2.1,690,6.7,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2015,18.7,13.1,12.8,11.6,13.3,13.3,9.7,5.4,2.2,"74,266",64,38.9,40.9,39.9,866,1.9,685,6.8,52.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2016,18.5,12.9,12.8,11.4,13.1,13.4,10,5.5,2.3,"74,622",63.6,39.2,41.1,40.2,962,1.9,726,7.1,52.3,1.6,1,5.6,2.3,0.4,1.1,0.5,0.7,0.4,0.5,12.4,0.8,51.6,0.4,0.4,-,0.4,35.8,10.6,87.6,4.3,8.1,6.6
23810,Latrobe (C) (Vic.),2017,18.4,12.6,13.1,11.2,12.8,13.5,10.3,5.7,2.4,"74,921",63.3,39.3,41.3,40.3,-,-,712,6.9,52.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3,1,4.2,1.1,0.2,0.5,0.1,0.1,0.2,0.2,7.6,-,-,-,-,-,-,-,-,91,3.2,5.8,2.2
23940,Loddon (S),2012,17,8.3,7.4,10.6,15.7,16.9,13.1,8.1,2.9,"7,529",58.8,50.7,49.1,49.9,81,2.6,97,6.5,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2013,17,8.3,7.4,10.5,15.3,16.8,13.5,8.1,3.1,"7,518",58.3,51.1,49.2,50.1,68,2.6,86,6.5,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2014,16.7,8.6,7.2,10.2,15,17.3,13.6,8.2,3.3,"7,513",58.3,51.3,49.6,50.4,69,2.6,82,6.6,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2015,16.5,8.6,7.4,9.8,14.6,17.4,14.3,7.8,3.5,"7,531",57.9,51.7,49.7,50.7,68,2.4,90,6.1,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2016,16.2,8.8,7.3,9.8,14.3,17.7,14.6,7.9,3.3,"7,558",57.9,51.8,49.9,50.8,59,2.3,75,5.9,1.1,1.5,1,4.1,0.8,0.2,1.1,0.1,0.2,0.2,0.3,8.1,0.7,55.6,0.2,0.1,-,0.5,29.1,13.9,86.2,3.3,10.4,3
23940,Loddon (S),2017,16,9.1,7.2,9.1,14.1,17.8,15.3,7.9,3.6,"7,507",57.2,52,50.8,51.4,-,-,83,5.5,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,1.3,7.5,1.8,0.2,0.5,0.3,0.3,0.6,0.4,12.9,-,-,-,-,-,-,-,-,91.7,4,4.3,4.2
24130,Macedon Ranges (S),2012,20.8,12.1,8.7,14.8,15.7,13.7,9,3.6,1.5,"43,794",65,40.8,41.4,41.1,463,2,269,5.6,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2013,20.7,11.9,8.9,14.6,15.4,13.7,9.5,3.7,1.6,"44,595",64.4,41.1,41.8,41.4,446,2,254,5.7,25.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2014,20.7,11.6,9,14.2,15.5,13.6,9.9,3.9,1.6,"45,471",63.9,41.3,42,41.7,502,2,260,5.5,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2015,20.6,11.4,9.1,13.9,15.4,13.5,10.3,4.1,1.6,"46,373",63.4,41.5,42.2,41.9,452,1.9,290,5.3,26.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2016,20.9,11.2,9.1,13.7,15.3,13.4,10.5,4.2,1.6,"47,480",62.8,41.4,42.3,41.9,566,2.1,308,5.4,27.2,0.6,1.4,6.8,1.6,0.2,0.6,0.4,0.4,0.6,0.4,12.4,0.6,51.4,0.1,0.2,0.1,0.3,37.5,9.7,89.4,4,6.7,4.5
24130,Macedon Ranges (S),2017,21.2,11.3,8.9,13.6,15.4,13.3,10.4,4.4,1.6,"48,430",62.4,41.3,42.2,41.8,-,-,316,5.5,27.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,1.2,4.5,8.4,2.7,5.4,9.9,2.1,0.8,1.6,36.5,-,-,-,-,-,-,-,-,86.8,9.6,3.6,38.8
24210,Manningham (C),2012,16,13.3,11.1,13.1,14.3,12.5,11,6.4,2.3,"117,440",64.3,41.4,43.8,42.6,"1,088",1.6,794,4.5,1036.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2013,16,13,11.5,12.8,14.3,12.3,11,6.6,2.5,"118,357",63.9,41.4,43.9,42.8,"1,028",1.5,730,4.3,1044.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2014,16.1,12.9,11.7,12.5,14.2,12.2,10.9,6.8,2.6,"119,437",63.6,41.3,44,42.8,993,1.5,817,4.2,1053.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2015,16.2,12.9,11.8,12.3,14.1,12.2,10.6,7,2.8,"120,785",63.4,41.1,44.1,42.7,"1,063",1.5,906,4.2,1065.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2016,16.3,13,11.8,12.1,14.1,12.2,10.3,7.2,3,"122,570",63.2,40.8,44.1,42.6,"1,118",1.5,890,4.3,1081.4,0.2,1.2,3.7,7.2,3.4,6.1,13.5,2.5,0.8,1.4,39.8,4,52.2,1.5,2.2,0.3,1.1,31.1,7.6,82,13.4,4.6,42.5
24210,Manningham (C),2017,16.5,13,11.9,12.2,13.8,12.2,10.2,7.3,3.1,"124,262",63,40.5,43.9,42.3,-,-,935,4.3,1096.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,1.2,7,1.2,0.1,0.4,0.5,0.3,0.7,0.4,11.8,-,-,-,-,-,-,-,-,91.5,4.3,4.2,4.1
24250,Mansfield (S),2012,18.9,10.3,8.8,11.3,14.8,16.3,12.1,5.4,2.1,"8,097",61.5,45.5,45.7,45.6,78,2.2,53,5.1,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2013,19,10,8.6,11.4,14.2,16.3,13.1,5.5,2,"8,276",60.4,46,45.9,45.9,79,2.2,60,4.9,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2014,19,9.7,8.6,11,13.9,16.2,13.7,5.7,2.1,"8,395",59.4,46.4,46.3,46.3,90,2.2,69,5.3,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2015,19,9.4,8.2,11,13.8,16.2,14.3,6,2.1,"8,530",58.7,46.8,46.7,46.7,79,2.2,71,5.4,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2016,18.4,9.5,8.3,11.1,13.3,16.3,14.7,6.2,2.2,"8,674",58.5,47,47,47,87,2.3,70,5.4,2.3,0.7,1,6,1.1,-,0.6,0.9,0.4,0.5,0.4,11,0.7,51.7,0.1,0.1,0.1,0.4,36.3,10.6,88.4,4.1,7.5,3.9
24250,Mansfield (S),2017,18.1,9.9,8.5,10.9,12.8,16,15.1,6.6,2,"8,797",58.1,47,47.1,47,-,-,76,5.6,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,2.2,3.6,6.4,1.4,13,3.7,6,1.6,1.8,39.6,-,-,-,-,-,-,-,-,76.1,15.5,8.4,42.8
24330,Maribyrnong (C),2012,16.3,13.8,22.4,17.3,12,8.1,4.8,3.6,1.6,"77,179",73.7,33.3,34.3,33.8,"1,431",1.9,452,6.2,2471.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2013,16.4,13.7,22.5,17.2,12,8.3,4.8,3.4,1.6,"79,782",73.7,33.2,34.3,33.7,"1,366",1.8,422,6.1,2555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2014,16.4,13.6,22.7,17.1,11.9,8.5,4.8,3.3,1.6,"82,463",73.9,33.1,34.2,33.6,"1,342",1.8,460,6,2640.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2015,16.3,13.6,23.1,16.9,11.9,8.6,4.9,3.2,1.6,"84,783",74.1,33.1,34.1,33.6,"1,288",1.7,491,6.1,2715.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2016,16.1,13.6,23.5,16.7,11.8,8.7,4.9,3,1.6,"86,942",74.3,33.1,34,33.5,"1,422",1.6,441,6,2784.3,0.5,2.4,3.6,5,1.5,13.5,3.9,6.5,1.8,1.8,40,8.3,35.5,3.8,4.3,0.1,0.7,36.9,10.4,74,18.4,7.5,41.9
24330,Maribyrnong (C),2017,16,13.2,23.8,16.8,11.8,8.9,5,2.9,1.6,"89,361",74.5,33.2,34.2,33.7,-,-,483,6.1,2861.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24410,Maroondah (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,1.6,7.9,2.1,0.7,3,2,1.9,0.8,1.1,21,-,-,-,-,-,-,-,-,88.6,7.8,3.6,12.6
24410,Maroondah (C),2012,18.6,13,14,14.6,13.6,11.2,7.9,4.8,2.2,"108,434",66.5,36.5,39.6,38.1,"1,447",1.9,772,5.7,1765.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24410,Maroondah (C),2013,18.6,12.8,14.2,14.5,13.6,11.1,8.1,4.8,2.3,"109,781",66.2,36.5,39.7,38.2,"1,482",1.9,783,5.6,1787.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24410,Maroondah (C),2014,18.7,12.7,14.2,14.3,13.6,11.2,8.2,4.8,2.3,"111,421",66,36.6,39.7,38.2,"1,425",1.9,806,5.5,1814.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24410,Maroondah (C),2015,18.8,12.5,14.3,14.2,13.5,11.3,8.3,4.7,2.3,"113,023",65.8,36.6,39.6,38.1,"1,507",1.9,859,5.6,1840.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24410,Maroondah (C),2016,19,12.4,14.4,14.1,13.5,11.3,8.5,4.7,2.3,"114,800",65.6,36.6,39.5,38,"1,616",1.9,808,5.6,1869.4,0.5,1.4,6.5,1.9,0.9,4.3,3.6,2.6,0.9,1.1,23.1,1.9,50.5,1.3,0.6,0.1,1,36.8,7.8,85.7,9.5,4.8,17
24410,Maroondah (C),2017,19,12.1,14.4,14.1,13.4,11.3,8.6,4.8,2.3,"116,332",65.4,36.7,39.5,38.1,-,-,781,5.4,1894.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24600,Melbourne (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,2.9,5.7,2.4,2,13.6,12.6,3.9,2.4,2,47.5,-,-,-,-,-,-,-,-,55.1,32.9,12,38.2
24600,Melbourne (C),2012,7,28.1,32.1,12,7.7,6.6,4,1.8,0.8,"107,578",86.5,29.2,28.3,28.7,"1,016",1,264,4.8,2880.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24600,Melbourne (C),2013,6.9,28.3,32.3,11.9,7.6,6.4,4,1.8,0.8,"118,711",86.5,29.2,28.2,28.7,"1,003",0.9,311,4.6,3178.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24600,Melbourne (C),2014,6.9,28.7,32.3,11.8,7.5,6.2,4,1.7,0.8,"127,975",86.6,29.1,28.1,28.6,"1,112",0.9,306,4.4,3426.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24600,Melbourne (C),2015,6.8,29,32.4,11.7,7.4,6.1,4,1.7,0.9,"136,872",86.6,29,28,28.5,"1,208",0.8,362,4.5,3664.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24600,Melbourne (C),2016,6.6,29.7,32.4,11.5,7.2,5.9,4.1,1.7,0.9,"146,096",86.8,28.9,27.8,28.3,"1,351",0.9,377,4.5,3911.4,0.3,2.3,4.5,2.5,1.8,12.7,21.6,5.4,3.2,1.6,55.7,6.9,24.5,4,3.9,0.3,0.5,45,14.8,45.2,42.8,12,48.1
24600,Melbourne (C),2017,6.5,29.6,32.9,11.6,7,5.8,4,1.6,0.8,"158,923",87,28.8,27.8,28.3,-,-,388,4.5,4254.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24650,Melton (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,2.5,4.1,6.9,1.8,5.3,0.9,3.9,1.3,1,27.7,-,-,-,-,-,-,-,-,85.3,8.3,6.4,28.9
24650,Melton (C),2012,24.4,13.5,17.3,16.9,11.9,9.2,4.4,1.8,0.6,"118,329",68.8,32,32.5,32.2,"2,244",2.2,382,6.2,224.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24650,Melton (C),2013,24.6,13.4,16.8,17,11.9,9.2,4.7,1.9,0.6,"123,936",68.2,32.1,32.7,32.4,"2,074",2.1,386,6,234.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24650,Melton (C),2014,24.6,13.4,16.4,16.9,11.9,9.2,5,1.9,0.6,"129,309",67.9,32.2,32.8,32.5,"2,097",2.1,415,5.8,245.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24650,Melton (C),2015,24.6,13.3,16.1,16.8,12.1,9.2,5.3,2,0.6,"134,915",67.5,32.3,33,32.7,"2,135",2,479,5.8,255.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24650,Melton (C),2016,24.7,13.2,16,16.7,12.2,9,5.6,2,0.6,"141,420",67.1,32.4,33,32.7,"2,443",2,453,5.7,268.1,0.9,3,3.3,6.1,2.4,5.9,0.9,5.6,1.3,1.4,29.9,2.7,56.8,2.7,4,-,2.2,22.2,9.4,83.1,9.9,7,32.2
24650,Melton (C),2017,24.7,13.2,15.7,16.5,12.3,9,5.7,2.1,0.6,"148,644",66.8,32.4,33.2,32.8,-,-,516,5.7,281.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24780,Mildura (RC),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.6,1.5,2.5,2.5,1.1,0.7,0.3,1.1,0.2,0.3,10.1,-,-,-,-,-,-,-,-,89.9,4,6.1,9
24780,Mildura (RC),2012,20.4,13.4,11.3,12.7,13.7,12.1,8.6,5.6,2.3,"52,475",63.2,38.5,39.8,39.2,769,2.3,384,6,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24780,Mildura (RC),2013,20,13.4,11.4,12.5,13.4,12.4,8.8,5.6,2.4,"53,156",63.2,38.7,40.1,39.4,690,2.3,452,6.1,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24780,Mildura (RC),2014,19.7,13.4,11.7,12.2,13.3,12.6,9,5.6,2.4,"53,737",63.1,38.8,40.3,39.6,695,2.2,475,6.1,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24780,Mildura (RC),2015,19.6,13.1,12.1,11.9,13.1,12.7,9.4,5.6,2.5,"54,156",62.9,38.9,40.5,39.7,663,2.1,460,6.3,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24780,Mildura (RC),2016,19.5,12.7,12.6,11.5,12.9,12.9,9.8,5.6,2.5,"54,658",62.6,38.8,40.5,39.7,768,2.1,465,6.2,2.5,3.8,1.4,2.3,2,0.8,1.4,0.7,1.5,0.2,0.5,10.8,1,51.9,0.4,1.7,-,0.6,33.7,10.6,86.5,5,8.5,9.5
24780,Mildura (RC),2017,19.4,12.9,12.9,11.2,12.6,12.9,9.8,5.8,2.5,"55,151",62.5,38.7,40.2,39.5,-,-,471,6,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24850,Mitchell (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,1.3,5,2,0.2,0.8,0.5,0.5,0.4,0.4,11,-,-,-,-,-,-,-,-,89.8,4.1,6.1,5.7
24850,Mitchell (S),2012,21.7,13.8,11.9,14.2,14.6,11.7,7.2,3.6,1.2,"36,384",66.3,36.1,37.9,37.1,565,2.3,180,6.6,12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
